,id,name,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood,latitude,longitude,is_location_exact,room_type,bathrooms,bedrooms,beds,price,availability,number_of_reviews,first_review,last_review,rating,score_clean,score_communication,score_location
1758,3292084,Cosy and spacious room in Amsterdam,5633882,2013-03-26,within a few hours,100,False,1.0,True,Geuzenveld - Slotermeer,52.38281,4.81353,False,Private room,1,1,1,65.0,0,26,2014-07-07,2019-11-26,9.6,10.0,10.0,9.0
1759,3294707,Spacious 2BR apartment with garden | City Centre,16646960,2014-06-11,within a day,50,False,1.0,True,Westerpark,52.3752,4.87446,True,Entire home/apt,2,2,2,141.0,57,19,2017-08-08,2019-08-15,8.8,9.0,9.0,9.0
1762,3301556,Amsterdam centre classic,14092025,2014-04-09,within a day,100,False,3.0,True,Westerpark,52.3766,4.87525,True,Entire home/apt,1,2,2,108.0,5,57,2014-07-31,2019-10-21,9.7,9.0,10.0,10.0
1763,3306530,"Light,Spacious, Big Family house",10326227,2013-11-29,within a few hours,86,False,1.0,True,De Pijp - Rivierenbuurt,52.34018,4.8974400000000005,True,Entire home/apt,1,3,5,285.0,84,14,2014-08-06,2019-08-06,9.6,10.0,10.0,9.0
1765,3307814,Beautiful central canal appartment with two cats,5020172,2013-02-09,within a day,100,False,1.0,True,De Baarsjes - Oud-West,52.370870000000004,4.87136,True,Entire home/apt,1,1,1,200.0,186,29,2014-12-15,2019-03-29,9.4,9.0,10.0,10.0
1766,3309416,Spacious Ap + Romantic Garden House,16707861,2014-06-12,within an hour,90,True,2.0,True,De Baarsjes - Oud-West,52.37325,4.86166,False,Entire home/apt,2,3,3,225.0,0,71,2014-07-18,2019-10-27,9.6,10.0,10.0,9.0
1767,3310738,Unique spot in Amsterdam,7438608,2013-07-12,within an hour,100,False,1.0,True,De Aker - Nieuw Sloten,52.343090000000004,4.79579,True,Private room,1,2,2,77.0,293,283,2014-06-30,2019-12-04,9.4,9.0,10.0,9.0
1773,3321612,Cosy apt in trendy Amsterdam area,6639539,2013-05-29,within a day,83,True,1.0,True,De Baarsjes - Oud-West,52.370740000000005,4.87104,True,Entire home/apt,1,1,1,123.0,8,54,2015-07-27,2019-09-30,9.6,10.0,10.0,10.0
1775,3322840,Southern Comfort Town House Apartment,16776262,2014-06-14,within an hour,100,False,1.0,True,Zuid,52.35673,4.87207,False,Entire home/apt,1,3,5,295.0,8,30,2014-07-18,2019-08-16,9.5,10.0,10.0,10.0
1778,3328100,Stylish apartment in heart of The Pijp.,3737342,2012-10-02,within an hour,100,True,2.0,True,De Pijp - Rivierenbuurt,52.35543,4.8974400000000005,True,Entire home/apt,1,2,2,140.0,0,17,2014-06-23,2018-10-28,10.0,10.0,10.0,10.0
1780,3332424,City Centre - renovated Canal House,11224822,2014-01-12,within a day,75,False,1.0,True,Centrum-West,52.36632,4.88074,True,Entire home/apt,3,5,6,795.0,92,9,2014-08-08,2019-04-28,10.0,10.0,10.0,10.0
1781,3332625,Epic appartement! Good deal,16824850,2014-06-15,a few days or more,30,False,1.0,True,De Baarsjes - Oud-West,52.358309999999996,4.85902,False,Entire home/apt,1,2,2,300.0,360,42,2014-08-18,2019-11-02,9.2,9.0,9.0,9.0
1786,3346620,Amsterdam Apartment - Clean Quiet Safe 2,4013546,2012-10-30,within an hour,100,True,2.0,True,Noord-Oost,52.39952,4.95165,True,Private room,1,1,2,56.0,354,114,2014-06-27,2019-12-02,9.2,10.0,10.0,9.0
1787,3347583,Charming studio in 'De Pijp',16894811,2014-06-17,within an hour,100,True,1.0,True,De Pijp - Rivierenbuurt,52.358109999999996,4.90013,True,Private room,1,0,2,100.0,20,365,2014-06-28,2019-12-02,9.9,10.0,10.0,10.0
1789,3352657,Lovely Comfortable apartment,16916490,2014-06-17,within an hour,100,False,1.0,True,Bos en Lommer,52.37658,4.85953,True,Entire home/apt,1,1,1,135.0,20,34,2014-07-15,2019-10-29,9.8,10.0,10.0,9.0
1797,3365308,Cozy Garden Apartment Central Amsterdam,16937413,2014-06-18,within an hour,100,True,1.0,True,De Baarsjes - Oud-West,52.36118,4.866709999999999,True,Entire home/apt,1,1,2,150.0,10,55,2014-08-12,2019-12-01,9.4,9.0,10.0,10.0
1798,3367321,Roof Terrace Appartement Amsterdam max 2 people,16989464,2014-06-19,within an hour,100,False,1.0,True,De Baarsjes - Oud-West,52.369820000000004,4.85238,True,Private room,1,1,1,69.0,19,279,2014-06-26,2019-11-18,9.3,9.0,10.0,10.0
1801,3369911,STUNNING APARTMENT W/CANAL VIEW !!!,14183886,2014-04-12,within a few hours,100,False,7.0,True,Centrum-West,52.36835,4.88312,True,Entire home/apt,1,1,2,130.0,0,4,2014-07-08,2014-08-07,9.5,10.0,9.0,10.0
1805,3374332,GORGEOUS APT+HEART OF JORDAN+CENTER,14183886,2014-04-12,within a few hours,100,False,7.0,True,Centrum-West,52.37514,4.88115,False,Entire home/apt,1,2,2,149.0,0,29,2014-07-14,2016-08-20,9.5,10.0,9.0,10.0
1806,3376088,Amazing house in the hart of Amsterdam,17030530,2014-06-20,within an hour,100,False,4.0,True,De Baarsjes - Oud-West,52.36437,4.86873,False,Entire home/apt,2,4,4,323.0,0,37,2014-07-15,2019-01-12,9.6,9.0,10.0,9.0
1810,3381723,Spacious studio apartment ,14043054,2014-04-08,within a day,75,False,1.0,True,De Pijp - Rivierenbuurt,52.35507,4.89233,True,Entire home/apt,2,1,4,240.0,310,26,2014-07-15,2019-07-15,9.8,9.0,10.0,10.0
1812,3383368,Apartment with Roof terrace & Mimi the Cat,3989215,2012-10-27,within a few hours,100,False,1.0,True,De Baarsjes - Oud-West,52.37075,4.86834,False,Entire home/apt,1,1,1,100.0,0,37,2014-12-30,2019-09-17,9.8,10.0,10.0,10.0
1813,3383408,Design Studio One,17069976,2014-06-21,within an hour,93,False,1.0,True,Centrum-Oost,52.36493,4.8814,True,Private room,1,1,1,90.0,137,256,2014-08-12,2019-12-04,9.3,10.0,10.0,10.0
1815,3385173,Spacious new house near city centre,17078793,2014-06-21,a few days or more,0,False,1.0,True,Noord-West,52.40927,4.90816,True,Entire home/apt,2,4,4,251.0,339,35,2014-07-26,2017-04-30,9.4,9.0,10.0,8.0
1816,3388684,Spacious apartment near Vondelpark,17097115,2014-06-22,within a day,100,False,1.0,True,De Baarsjes - Oud-West,52.36121,4.85219,True,Entire home/apt,1,2,2,150.0,0,24,2014-07-14,2019-11-04,9.5,9.0,10.0,9.0
1817,3388764,Nice room with view on the canal,13818262,2014-04-02,within a few hours,100,True,1.0,True,De Pijp - Rivierenbuurt,52.34698,4.89116,True,Private room,1,1,1,90.0,61,39,2015-10-17,2019-11-10,9.8,10.0,10.0,10.0
1818,3389300,Great Amsterdam apartment,13823916,2014-04-02,within an hour,100,False,1.0,True,De Pijp - Rivierenbuurt,52.35387,4.8977900000000005,False,Entire home/apt,1,1,1,120.0,0,74,2014-07-06,2019-11-10,9.8,10.0,10.0,10.0
1821,3401602,Stylish  light apartment in de pijp,30390,2009-08-07,within a day,50,False,1.0,True,De Pijp - Rivierenbuurt,52.35585,4.896319999999999,True,Entire home/apt,1,1,1,70.0,1,5,2014-08-06,2018-06-04,9.2,9.0,9.0,10.0
1824,3406912,Spacious apartment Amsterdam center,13419053,2014-03-22,within a day,100,False,1.0,True,Centrum-Oost,52.36188,4.90944,True,Entire home/apt,1,2,4,230.0,0,32,2014-10-20,2017-08-11,9.9,10.0,10.0,10.0
1825,3407896,Perfect located/child-friendly,16518310,2014-06-08,within a day,100,False,1.0,True,Westerpark,52.37318,4.86914,True,Entire home/apt,1,2,4,145.0,57,25,2014-07-07,2019-09-06,9.0,9.0,9.0,8.0
